timestamp,open,high,low,close,base_volume,quote_volume,datetime,rsi,macd,macd_signal,macd_diff,ema20,ema50,ema200,bb_upper,bb_middle,bb_lower
1734800400000,97259.1,97670.0,97010.0,97563.3,9367.169,912368860.4677,2024-12-21 17:00:00,49.87427205904278,23.850165426541935,100.87990224206659,-77.02973681552466,97568.03583180426,98073.99408417431,101844.7765,98960.85948759217,97789.14,96617.42051240783
1734804000000,97563.3,97688.8,97260.8,97382.3,3757.986,366476302.5277,2024-12-21 18:00:00,48.263415155843965,5.140811398203368,81.73208407329395,-76.59127267509058,97550.34670496576,98046.8688259714,101800.37374875623,98961.46249184429,97787.255,96613.04750815572
1734807600000,97382.3,97420.7,96800.0,97249.1,3921.348,380428736.8153,2024-12-21 19:00:00,47.05884529560281,-20.201740178381442,61.34531922295887,-81.5470594013403,97521.65654258807,98015.58377397252,101755.08744279847,98958.7632052816,97761.30000000002,96563.83679471843
1734811200000,97249.1,98044.0,97198.9,97435.1,6579.212,642877556.2676,2024-12-21 20:00:00,48.97397878520505,-24.989189531232114,44.07841747212068,-69.06760700335279,97513.41306234158,97992.81970440497,101712.10249311889,98958.7505422432,97758.64,96558.5294577568
1734814800000,97435.1,97560.4,96525.5,96876.9,4246.499,411821102.6349,2024-12-21 21:00:00,43.84757519608876,-72.98403800390952,20.66592637691464,-93.64996438082416,97452.79277069001,97949.05814736949,101663.99102552567,98983.48373804358,97736.84,96490.19626195641
1734818400000,96876.9,97374.5,96600.0,97120.7,6101.979,592654822.7454,2024-12-21 22:00:00,46.48252052696145,-90.30667953658849,-1.5285948057859846,-88.7780847308025,97421.16488776715,97916.57351413932,101618.7841496498,98990.11417733571,97725.43000000001,96460.7458226643
1734822000000,97120.7,97286.4,96871.9,97244.4,4110.777,399089351.928,2024-12-21 23:00:00,47.82042261977019,-92.98160746632493,-19.819197337893776,-73.16241012843116,97404.33013655123,97890.2137684868,101575.25793920553,98992.00575387882,97715.81999999999,96439.63424612116
1734825600000,97244.4,97431.9,97030.8,97218.0,3865.733,375876548.6777,2024-12-22 00:00:00,47.54722759156961,-96.12371216950123,-35.08010030421527,-61.04361186528596,97386.58440926064,97863.85244423243,101531.90213881544,98992.5339029137,97700.01,96407.4860970863
1734829200000,97218.0,97413.8,96685.8,97030.0,2808.669,272513137.8998,2024-12-22 01:00:00,45.55150260430707,-112.48719919142604,-50.56152008165743,-61.925679109768616,97352.62398933106,97831.15234838017,101487.10709265807,98869.76090901643,97620.015,96370.26909098357
1734832800000,97030.0,97215.0,96600.0,96691.4,2557.806,247610160.5827,2024-12-22 02:00:00,42.12224001060929,-151.03651581324812,-70.65651922797556,-80.37999658527255,97289.65027606142,97786.45617785546,101439.38861412417,98739.01779691398,97521.835,96304.65220308604
1734836400000,96691.4,97291.4,96533.1,96965.4,3161.434,306587186.7538,2024-12-22 03:00:00,45.685612428320006,-157.66020814301737,-88.05725701098393,-69.60295113203344,97258.7692973889,97754.25789637094,101394.87131448115,98454.57674755242,97420.45,96386.32325244758
1734840000000,96965.4,97042.0,96066.8,96066.9,4487.76,432626480.7764,2024-12-22 04:00:00,37.52654869116287,-232.7282268271083,-116.99145097420882,-115.73677585289948,97145.25793573282,97688.08699847404,101341.85667453607,98341.90452080897,97294.20499999999,96246.50547919101
1734843600000,96066.9,96385.6,95867.3,96139.0,5557.017,534052570.7059,2024-12-22 05:00:00,38.4760745112006,-283.13846110293525,-150.2208529999541,-132.91760810298115,97049.4238466154,97627.33848872996,101290.08695638149,98180.54512192743,97175.425,96170.30487807258
1734847200000,96139.0,96726.2,96097.3,96703.9,3256.212,314290782.1597,2024-12-22 06:00:00,45.46924025855243,-274.34376190477633,-175.04543478091855,-99.29832712385777,97016.51681360441,97591.12521466213,101244.45325532298,98037.3340980472,97106.01000000001,96174.68590195282
1734850800000,96703.9,96808.6,96067.8,96190.0,4495.312,433542101.8032,2024-12-22 07:00:00,40.91322448188763,-305.3217752178316,-201.10070286830117,-104.22107234953043,96937.80092659447,97536.17912781263,101194.16018810585,97866.33139816637,97004.24500000001,96142.15860183365
1734854400000,96190.0,96666.8,96190.0,96505.8,2634.032,254082683.0024,2024-12-22 08:00:00,44.58767247981276,-300.9208252469398,-221.0647273440289,-79.85609790291088,96896.65798120452,97495.77210319253,101147.50983797545,97861.18659489589,96974.05,96086.91340510412
1734858000000,96505.8,97200.0,96299.6,96895.3,5713.433,553552700.1635,2024-12-22 09:00:00,48.81552732446129,-262.97226529543696,-229.44623493431052,-33.52603036112643,96896.52864966124,97472.22417757714,101105.19929232396,97828.5889718151,96953.785,96078.9810281849
1734861600000,96895.3,97302.4,96817.5,96979.2,2647.459,257074779.4712,2024-12-22 10:00:00,49.70569469643185,-223.5507751306286,-228.26714297357415,4.7163678429455445,96904.40211159826,97452.88989610353,101064.14457299736,97824.04991524239,96950.25499999999,96076.4600847576
1734865200000,96979.2,97300.2,96945.0,97069.9,2891.388,280847890.0814,2024-12-22 11:00:00,50.703801188509324,-182.88207742167288,-219.1901298631939,36.30805244152103,96920.16381525557,97437.87068449163,101024.40084590287,97769.82510796837,96929.285,96088.74489203164
1734868800000,97069.9,97257.9,96796.6,96948.3,2907.534,282067857.6307,2024-12-22 12:00:00,49.29145653766981,-158.6352962830715,-207.07916314716942,48.44386686409791,96922.84345189789,97418.6718341194,100983.8426285307,97740.70233499588,96913.74500000001,96086.78766500414
1734872400000,96948.3,97213.9,96803.8,96943.9,4199.884,407665908.4422,2024-12-22 13:00:00,49.238011859774275,-138.18171794048976,-193.2996741058335,55.11795616534374,96924.84883743142,97400.0533308206,100943.64419441597,97654.66838350803,96882.775,96110.88161649196
1734876000000,96943.9,97018.4,95244.5,95323.9,16353.776,1568788225.7443,2024-12-22 14:00:00,34.434288811996,-249.8128834220406,-204.60231596907494,-45.21056745296568,96772.37751958081,97318.63555314137,100887.72634173522,97774.62255973619,96779.855,95785.0874402638
1734879600000,95323.9,95612.1,95085.0,95340.9,7669.269,731276861.742,2024-12-22 15:00:00,34.656309116924426,-333.07020243554143,-230.29589326236825,-102.77430917317318,96636.04632723978,97241.07729615543,100832.53403982741,97834.76249960762,96684.44499999999,95534.12750039237
1734883200000,95340.9,95833.3,95164.6,95680.3,4261.72,407211047.3614,2024-12-22 16:00:00,39.09082519801073,-367.42997998246574,-257.72271060638775,-109.70726937607799,96545.02286750266,97179.87034336502,100781.26802948088,97772.0355789877,96596.705,95421.3744210123
1734886800000,95680.3,95815.4,95401.0,95578.5,2014.079,192594161.8512,2024-12-22 17:00:00,38.25229124990475,-398.2835950977751,-285.83488750466523,-112.44870759310987,96452.97307059764,97117.07150637032,100729.49919336665,97779.25843903732,96531.785,95284.31156096268
1734890400000,95578.5,96416.3,95333.9,95905.6,5473.888,525234638.7967,2024-12-22 18:00:00,42.51895040680097,-391.8243636912812,-307.03278274198846,-84.79158094929272,96400.8423019693,97069.562819846,100681.50019641774,97716.21378418755,96471.03,95225.84621581245
1734894000000,95905.6,96113.8,94650.0,94803.0,6979.805,664571472.6048,2024-12-22 19:00:00,33.99243616892621,-470.2551725472731,-339.6772607030454,-130.57791184422769,96248.6668446389,96980.67800338146,100623.00765714991,97737.38461142247,96348.95999999999,94960.53538857751
1734897600000,94803.0,95592.4,94399.3,95556.3,7222.046,685177980.316,2024-12-22 20:00:00,42.47930983280871,-466.25247096666135,-364.9923027557686,-101.26016821089274,96182.72714514947,96924.82004246455,100572.59265558624,97635.0814502856,96265.875,94896.6685497144
1734901200000,95556.3,95714.4,95038.1,95161.7,3474.228,331510522.2685,2024-12-22 21:00:00,39.6065776051943,-489.281095415281,-389.8500612876711,-99.4310341276099,96085.48646465904,96855.67808001496,100518.75292766996,97574.91639418974,96172.45999999999,94770.00360581024
1734904800000,95161.7,95589.6,94200.0,95514.1,8981.004,851873770.0146,2024-12-22 22:00:00,43.29469620339202,-473.6359311466367,-406.60723525946423,-67.02869588717249,96031.06870612009,96803.06717491633,100468.95538610111,97522.79740487438,96113.595,94704.39259512562
